,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-01 04:03:44.346429,0.07882094,0,Claim,29.117638,7.635558,4.106612,894,0,219,
0,2022-04-01 04:04:49.279280,0.09219561999999999,219,Swap [bETH],29.117638,7.635558,4.106612,23460,0,0,
0,2022-04-01 04:05:19.114424,0,39.821579,Init,28.079409,7.635558,4.106612,23460,0,0,
0,2022-04-01 04:25:26.895723,0.07820296,0,Claim,28.079409,7.371415,3.993751,0,0,36,
0,2022-04-01 04:26:40.932092,0.09218308,36,Swap [bETH],28.079409,7.371415,3.993751,0,0,0,
0,2022-04-01 04:27:01.208606,0,41.622871,Init,30.257705,7.371415,3.993751,2622,0,0,
0,2022-04-01 09:20:44.624386,0,31.212193,Init,17.218446,10.0,3.993747,101195,0,0,
0,2022-04-01 12:05:43.738438,0.031097220000000002,1000000,Submit,17.218446,0.0,10.0,0,0,0,
0,2022-04-01 12:07:11.881156,0.0738221,0,Claim,17.218446,10.0,10.0,0,0,1234,
0,2022-04-01 12:09:13.161211,0.09218836,1234,Swap [bETH],17.218446,10.0,10.0,98981,0,0,
0,2022-04-01 12:09:28.369886,0,30.924182000000002,Init,10.924182,10.0,10.0,98981,0,0,
0,2022-04-01 12:16:16.252396,0,30.924182000000002,Init,10.924182,10.0,10.0,98981,0,0,
0,2022-04-01 12:17:51.788108,0.033082940000000005,0,Activate,10.924182,10.0,10.0,98981,0,0,
0,2022-04-01 12:18:53.999923,0,30.858255,Init,10.858255,10.0,10.0,98981,0,0,
0,2022-04-01 14:26:48.771664,0.03110448,1000000,Submit,10.858255,0.0,10.0,0,0,0,
0,2022-04-01 14:27:57.118685,0.07370264,0,Claim,10.858255,10.0,10.0,0,0,3075,
0,2022-04-01 14:29:32.500459,0.09219848,3075,Swap [bETH],10.858255,10.0,10.0,0,0,0,
0,2022-04-01 14:29:50.767416,0,30.511664,Init,10.511664,10.0,10.0,0,0,0,
0,2022-04-01 14:37:33.675978,0,30.384866000000002,Init,10.384866,10.0,10.0,99665,0,0,
0,2022-04-01 14:38:45.338747,0.03305478,0,Activate,10.384866,10.0,10.0,99665,0,0,
0,2022-04-01 14:39:46.690527,0,30.318903,Init,10.318903,10.0,10.0,99665,0,0,
